area,city,floor,location,price,rooms,source,square_price,title,opstina,latitude,longitude
92,Beograd,6," Opština Vračar, Južni bulevar, Sime Igumanova",224000,3.5,halooglasi,2435,"Prodaje se stan,Vračar ID#1433",Vračar,44.7919751,20.4707263
67,Beograd,2," Opština Zemun, Kalvarija, Zlatiborska",218688,3.0,halooglasi,3264,"Kalvarija, Pametna zgrada, Lux novogradnja",Zemun,44.8380469,20.3963811
62,Beograd,4," Opština Novi Beograd, Bežanijska kosa 3, Kolumbova",142000,3.0,halooglasi,2290,Stan na odličnoj lokaciji na Bežanijskoj kosi,Novi Beograd,44.8080199,20.367432
68,Beograd,0," Opština Čukarica, Žarkovo, Ratka Mitrovića",123600,2.0,halooglasi,1831,"Zarkovo, Ratka Mitrovica",Čukarica,44.7594261,20.4137684
67,Beograd,2,"Blok 45, Novi Beograd",165000,2.5,4zida,2463,Jurija Gagarina,Novi Beograd,44.8133048,20.4183382
85,Beograd,1," Opština Savski venac, Klinički centar, Kneza Miloša",189000,4.0,halooglasi,2224,Stan u centru Beograda ID#1045,Savski Venac,44.7980443,20.4589018
29,Beograd,p," Opština Rakovica, Labudovo brdo, Čajnička",64000,1.0,halooglasi,2207,Čajnička Labudovo brdo Rakovica Beograd Srbija,Rakovica,44.728355,20.4245747
97,Beograd,1," Opština Zvezdara, Mirijevo, Vitezova Karađorđeve Zvezde",159900,3.0,halooglasi,1648,"Novogradnja, useljiva za mesec dana ID#126979",Zvezdara,44.7945615,20.5286269
71,Beograd,2," Opština Zemun, Gornji grad, Prvomajska",184350,3.0,halooglasi,2600,"Prvomajska, Gornji grad, Zemun ID#1472",Zemun,44.8518881,20.3917208
106,Beograd,2," Opština Stari grad, Centar, Vlajkovićeva",370000,4.0,halooglasi,3491,Vlajkovićeva ID#1242,Stari Grad,44.8139993,20.4669605
220,Beograd,3," Opština Savski venac, Dedinje, Vladimira Gaćinovića",800000,6.0,halooglasi,3636,6.0 220m2+L Dedinje - Američka ambasada,Savski Venac,44.7731026,20.4569881
49,Beograd,p," Opština Palilula, Borča, Kikindska",88200,2.0,halooglasi,1800,"Novogradnja, Borča Kikindska ulica",Palilula,44.8917626,20.4665495
58,Beograd,p," Opština Grocka, Kaluđerica, Preradovićeva  br.21",92800,3.0,halooglasi,1600,"Novogradnja 58mkv, dve spavace, useljiv.",Grocka,44.7557801,20.5579418
96,Beograd,5," Opština Savski venac, Dedinje, Neznanog Junaka",211200,3.0,halooglasi,2200,"Neznanog junaka, Dedinje-Pink, Savsk ID#2080",Savski Venac,44.7738802,20.4617591
