area,city,floor,location,price,rooms,source,square_price,title
68,Beograd,2," Opština Vračar , Centar , Brane Crnčevića ",243900,2.5,halooglasi,3587,Vračar - Hram - Ohridska - Krušedolska ID#4430
58,Novi Sad,p," Opština Novi Sad , Železnička stanica ",122000,2.0,halooglasi,2103,Dvosoban stan kod Železničke stanice
39,Novi Sad,p," Opština Novi Sad , Socijalno ",64750,1.0,halooglasi,1660,Jednosoban stan na odličnoj lokaciji
76,Novi Sad,1," Petrovaradin , Sremska Kamenica ",141100,2.5,halooglasi,1857,Dvoiposoban stan na Tatarskom brdu
51,Novi Sad,p," Opština Novi Sad , Detelinara ",90200,2.5,halooglasi,1769,Odličan stan na Detelinari
59,Novi Sad,5," Opština Novi Sad , Železnička stanica ",125200,2.0,halooglasi,2122,-Odličan dvoiposoban stan-
37,Novi Sad,0," Opština Novi Sad , Podbara ",84870,1.5,halooglasi,2294,-Odličan stan sa odvojenom spavaćom sobom-
48,Novi Sad,0," Opština Novi Sad , Satelit ",74300,2.5,halooglasi,1548,-Dvoiposoban stan u blizini Satelitske pijace-
84,Novi Sad,0," Opština Novi Sad , Železnička stanica ",132620,3.0,halooglasi,1579,Komforan trosoban stan na odličnoj lokaciji
47,Beograd,0.5," Opština Palilula , Borča , Milana Toplice ",80000,2.0,halooglasi,1702,"2.0 stan u Borči, Milana Toplice ID#2668"
105,Beograd,3," Opština Vračar , Kalenić pijaca , Ljubostinjska ",395000,4.0,halooglasi,3762,"Vračar, novogradnja, garaža, ID 21508"
138,Beograd,0," Opština Novi Beograd , Blok 65 , Tadije Sondermajera ",522600,4.0,halooglasi,3787,"Wellport, lux stan sa dve prelepe bašte, ID 21434"
58,Beograd,3," Opština Novi Beograd , Blok 65 , Omladinskih brigada ",272000,2.0,halooglasi,4690,"West 65, lux, novogradnja, ID 19624"
27,Novi Sad,p," Opština Novi Sad , Sajam ",79950,1.5,halooglasi,2961,Odličan jednoiposoban stan
87,Novi Sad,2," Opština Novi Sad , Bistrica ",137920,3.0,halooglasi,1585,-odličan komforan trosoban stan-
33,Novi Sad,3," Opština Novi Sad , Grbavica ",90180,0.5,halooglasi,2733,Komforna garsonjera na TOP lokaciji
63,Novi Sad,2," Opština Novi Sad , Telep ",127310,3.0,halooglasi,2021,-opremljen i do sada neuseljavan-
30,Novi Sad,3," Opština Novi Sad , Železnička stanica ",73200,1.0,halooglasi,2440,-Stan je namešten u dobro održavanoj zgradi-
65,Novi Sad,0.5," Opština Novi Sad , Bulevar Evrope ",167370,3.0,halooglasi,2575,LUX trosoban stan
44,Novi Sad,p," Petrovaradin , Blok 8 ",75860,2.0,halooglasi,1724,Odličan dvosoban stan
25,Novi Sad,1," Opština Novi Sad , Veternik ",56000,0.5,halooglasi,2240,Izuzetno projektovana garsonjera
41,Novi Sad,2," Opština Novi Sad , Grbavica ",118290,2.0,halooglasi,2885,Dvosoban stan u kvalitetno zidanoj novijoj zgradi
45,Novi Sad,5," Opština Novi Sad , Bulevar Oslobođenja ",113500,2.0,halooglasi,2522,Fantastičan dvosoban stan na atraktivnoj lokaciji
38,Novi Sad,4," Opština Novi Sad , Grbavica ",126000,2.0,halooglasi,3316,Odličan dvosoban stan na atraktivnoj lokaciji
55,Novi Sad,p," Opština Novi Sad , Podbara ",137920,2.5,halooglasi,2508,Odličan dvoiposoban stan na Podbari
